wavelength_AA,ion,IP,,,,,,,,
770.409,Ne VIII,207.27,,,,,,,,
780.324,Ne VIII,207.27,,,,,,,,
937.814,Ly_epsilon,0,,,,,,,,
949.742,Ly_delta,0,,,,,,,,
977.03,C III,24.38,,,,,,,,
989.79,N III,29.6,,,,,,,,
991.514,N III,29.6,,,,,,,,
991.579,N III,29.6,,,,,,,,
1025.722,Ly_beta,0,,,,,,,,
1031.912,O VI,113.9,,,,,,,,
1037.613,O VI,113.9,,,,,,,,
1066.66,Ar I,0,,,,,,,,
1215.67,Ly_alpha,0,,,,,,,,
1238.821,N V,77.47,,,,,,,,
1242.804,N V,77.47,,,,,,,,
1260.422,Si II,8.15,,,,,,,,
1264.73,Si II,8.15,,,,,,,,
1302.168,O I,0,,,,,,,,
1334.532,C II,11.26,,,,,,,,
1335.708,C II,11.26,,,,,,,,
1393.755,Si IV,33.49,,,,,,,,
1397.232,O IV],54.93,,,,,,,,
1399.78,O IV],54.93,,,,,,,,
1402.77,Si IV,33.49,,,,,,,,
1486.496,N IV],47.45,,,,,,,,
1548.187,C IV,47.89,,,,,,,,
1550.772,C IV,47.89,,,,,,,,
1640.42,He II,54.42,,,,,,,,
1660.809,O III],35.12,,,,,,,,
1666.15,O III],35.12,,,,,,,,
1746.823,N III],29.6,,,,,,,,
1748.656,N III],29.6,,,,,,,,
1854.716,Al III,18.83,,,,,,,,
1862.79,Al III,18.83,,,,,,,,
1892.03,Si III],16.35,,,,,,,,
1908.734,C III],24.38,,,,,,,,
2142.78,N II],14.53,,,,,,,,
2320.951,[O III],35.12,,,,,,,,
2323.5,C II],11.26,,,,,,,,
2324.69,C II],11.26,,,,,,,,
2648.71,[Fe XI],262.1,,,,,,,,
2733.289,He II,54.42,,,,,,,,
2782.7,[Mg V],109.24,,,,,,,,
2795.528,Mg II],7.65,,,,,,,,
2802.705,Mg II],7.65,,,,,,,,
2829.36,[Fe IV],30.65,,,,,,,,
2835.74,[Fe IV],30.65,,,,,,,,
2853.67,[Ar IV],40.74,,,,,,,,
2868.21,[Ar IV],40.74,,,,,,,,
2928,[Mg V],109.24,,,,,,,,
2945.106,He I,0,,,,,,,,
3132.794,O III,35.12,,,,,,,,
3187.745,He I,0,,,,,,,,
3203.1,He II,54.42,,,,,,,,
3312.329,O III,35.12,,,,,,,,
3345.821,[Ne V],97.11,,,,,,,,
3425.881,[Ne V],97.11,,,,,,,,
3444.052,O III,35.12,,,,,,,,
3466.497,[N I],0,,,,,,,,
3466.543,[N I],0,,,,,,,,
3487.727,He I,0,,,,,,,,
3586.32,[Fe VII],99,,,,,,,,
3662.5,[Fe VI],75,,,,,,,,
3686.831,H19,0,,,,,,,,
3691.551,H18,0,,,,,,,,
3697.157,H17,0,,,,,,,,
3703.859,H16,0,,,,,,,,
3711.977,H15,0,,,,,,,,
3721.945,H14,0,,,,,,,,
3726.032,[O II],13.62,,,,,,,,
3728.815,[O II],13.62,,,,,,,,
3734.369,H13,0,,,,,,,,
3750.158,H12,0,,,,,,,,
3758.92,[Fe VII],99,,,,,,,,
3770.637,H11,0,,,,,,,,
3797.904,H10,0,,,,,,,,
3835.391,H9,0,,,,,,,,
3839.27,[Fe V],54.8,,,,,,,,
3868.76,[Ne III],40.96,,,,,,,,
3888.647,He I,0,,,,,,,,
3889.064,H8,0,,,,,,,,
3891.28,[Fe V],54.8,,,,,,,,
3911.33,[Fe V],54.8,,,,,,,,
3967.47,[Ne III],40.96,,,,,,,,
3970.079,H_epsilon,0,,,,,,,,
4026.19,He I,0,,,,,,,,
4068.6,[S II],10.36,,,,,,,,
4071.24,[Fe V],54.8,,,,,,,,
4076.349,[S II],10.36,,,,,,,,
4101.742,H_delta,0,,,,,,,,
4143.761,He I,0,,,,,,,,
4178.862,Fe II,7.87,,,,,,,,
4180.6,[Fe V],54.8,,,,,,,,
4233.172,Fe II,7.87,,,,,,,,
4227.19,[Fe V],54.8,,,,,,,,
4287.394,[Fe II],7.87,,,,,,,,
4303.176,Fe II,7.87,,,,,,,,
4317.139,O II,13.62,,,,,,,,
4340.471,H_gamma,0,,,,,,,,
4363.21,[O III],35.12,,,,,,,,
4412.3,[Ar XIV],686.09,,,,,,,,
4414.899,O II,13.62,,,,,,,,
4416.83,Fe II,7.87,,,,,,,,
4452.098,[Fe II],7.87,,,,,,,,
4471.479,He I,0,,,,,,,,
4489.183,Fe II,7.87,,,,,,,,
4491.405,Fe II,7.87,,,,,,,,
4510.91,N III,29.6,,,,,,,,
4522.634,Fe II,7.87,,,,,,,,
4555.893,Fe II,7.87,,,,,,,,
4582.835,Fe II,7.87,,,,,,,,
4583.837,Fe II,7.87,,,,,,,,
4629.339,Fe II,7.87,,,,,,,,
4634.14,N III,29.6,,,,,,,,
4640.64,N III,29.6,,,,,,,,
4641.85,N III,29.6,,,,,,,,
4647.42,C III,24.38,,,,,,,,
4650.25,C III,24.38,,,,,,,,
4651.47,C III,24.38,,,,,,,,
4658.05,[Fe III],16.18,,,,,,,,
4685.71,He II,54.42,,,,,,,,
4711.26,[Ar IV],40.74,,,,,,,,
4740.12,[Ar IV],40.74,,,,,,,,
4861.333,H_beta,0,,,,,,,,
4893.37,[Fe VII],99,,,,,,,,
4903.07,[Fe IV],30.65,,,,,,,,
4923.927,Fe II,7.87,,,,,,,,
4958.911,[O III],35.12,,,,,,,,
5006.843,[O III],35.12,,,,,,,,
5018.44,Fe II,7.87,,,,,,,,
5084.77,[Fe III],16.18,,,,,,,,
5145.75,[Fe VI],75,,,,,,,,
5158.89,[Fe VII],99,,,,,,,,
5169.033,Fe II,7.87,,,,,,,,
5176.04,[Fe VI],75,,,,,,,,
5197.577,Fe II,7.87,,,,,,,,
5200.257,[N I],0,,,,,,,,
5234.625,Fe II,7.87,,,,,,,,
5236.06,[Fe IV],30.65,,,,,,,,
5270.4,[Fe III],16.18,,,,,,,,
5276.002,Fe II,7.87,,,,,,,,
5276.38,[Fe VII],99,,,,,,,,
5302.86,[Fe XIV],361,,,,,,,,
5309.11,[Ca V],67.1,,,,,,,,
5316.615,Fe II,7.87,,,,,,,,
5316.784,Fe II,7.87,,,,,,,,
5335.18,[Fe VI],75,,,,,,,,
5424.22,[Fe VI],75,,,,,,,,
5517.709,[Cl III],23.81,,,,,,,,
5537.873,[Cl III],23.81,,,,,,,,
5637.6,[Fe VI],75,,,,,,,,
5677,[Fe VI],75,,,,,,,,
